area,hourly_wage
구로구 구로동,7500
성동구 금호동4,7500
영등포구 영등포동,6900
강남구 논현동,6690
강남구 대치동,6600
강남구 논현동,6600
강남구 청담동,6500
강동구 천호2동,6500
강서구 등촌동,6500
강서구 등촌동,6500
관악구 인헌동,6500
구로구 구로4동,6500
구로구 개봉동,6500
도봉구 창동,6500
동대문구 장안동,6480
동대문구 장안동,6480
마포구 성산2동,6300
마포구 서교동,6300
마포구 동교동,6300
성동구 사근동,6300
송파구 송파동,6300
영등포구 여의도동,6200
영등포구 영등포동,6200
용산구 이태원동,6200
은평구 진관동,6100
종로구 관수동,6000
종로구 낙원동,6000
중구 충무로4,6000
중구 다동,6000
중구 명동2가,6000
중구 북창동,6000
중구 신당동,6000
강남구 논현동,6000
강남구 신사동,6000
강남구 대치4동,6000
강남구 논현1동,6000
강서구 방화동,6000
금천구 독산동,6000
금천구 가산동,6000
서대문구 신촌동,6000
서대문구 현저동,6000
서대문구 충정로2,6000
서초구 반포4동,6000
성동구 성수동1,6000
용산구 한남동,6000
용산구 이태원동,6000
은평구 대조동,6000
